doi,value
10.1016/j.MEATsci.2019.04.004,"""Ethical"" Problems"
10.1007/s10806-017-9654-y,"""Ethical"" Problems"
10.3389/fsufs.2023.1127164,"""Ethical"" Problems"
10.1016/j.livsci.2021.104705,"""Ethical"" Problems"
10.3389/fsufs.2023.1104731,"""Ethical"" Problems"
10.1038/s41538-019-0041-0,Attributes of Consumption Culture
10.3390/conservation3020021,Attributes of Consumption Culture
10.3389/fnut.2020.00148,Attributes of Consumption Culture
10.3389/fsufs.2023.1134100,Attributes of Consumption Culture
10.1108/BFJ-09-2021-0987,Attributes of Consumption Culture
10.3389/fsufs.2023.1302511,Attributes of Consumption Culture
10.1007/s11569-018-0330-0,Attributes of Consumption Culture
10.1016/j.foodqual.2023.105032,Attributes of Consumption Culture
10.1111/ajsp.12609,Attributes of Consumption Culture
10.3389/fsufs.2023.1134100,Attributes of Production Culture
10.1108/BFJ-09-2021-0987,Attributes of Production Culture
10.1016/j.MEATsci.2022.108776,Attributes of Production Culture
10.3389/fsufs.2023.1160458,Biodiversity Impacts
10.1038/s41538-022-00172-0,Biodiversity Impacts
10.3390/nu11081904,Biodiversity Impacts
10.3390/conservation3020021,Biodiversity Impacts
10.3389/fnut.2020.00148,Biodiversity Impacts
10.1371/journal.pone.0221129,Biodiversity Impacts
10.3390/foods13091358,Biodiversity Impacts
10.22434/IFAMR2022.0017,Biodiversity Impacts
10.3389/fsufs.2024.1294390,Biodiversity Impacts
10.3390/su12114377,Biodiversity Impacts
10.3389/fnut.2023.1196475,Biodiversity Impacts
10.3390/gels8020094,Biodiversity Impacts
10.1007/s11626-024-00971-7,Biodiversity Impacts
10.1016/j.fufo.2024.100297,Biodiversity Impacts
10.3828/extr.2022.11,Biodiversity Impacts
10.3390/nu15214649,Biodiversity Impacts
10.1111/faf.12541,Biodiversity Impacts
10.3390/su141912501,Biodiversity Impacts
10.1007/s11569-018-0330-0,Biodiversity Impacts
10.1108/BFJ-01-2018-0025,Biodiversity Impacts
10.3390/nu13041284,Biodiversity Impacts
10.1038/s41538-021-00121-3,Biodiversity Impacts
10.3390/foods10112537,Biodiversity Impacts
10.1016/j.ijbiomac.2024.134242,Biodiversity Impacts
10.1111/japp.12056,Biodiversity Impacts
10.3390/su15129253,Biodiversity Impacts
10.1152/ajpcell.00231.2024,Cell Maintenance
10.1038/s41598-018-28746-7,Cell Maintenance
10.1016/j.fbio.2022.101571,Cell Maintenance
10.3390/foods13040563,Cell Maintenance
10.1016/j.ifset.2024.103734,Cell Maintenance
10.1016/j.crfs.2024.100841,Cell Maintenance
10.3390/foods13091358,Cell Maintenance
10.1016/j.crbiot.2024.100241,Cell Maintenance
10.1016/j.devcel.2021.11.022,Cell Maintenance
10.3390/foods12142645,Cell Maintenance
10.1111/faf.12541,Cell Maintenance
10.1007/s12015-023-10535-z,Cell Maintenance
10.3390/foods12142682,Cell Maintenance
10.1016/j.foodhyd.2017.05.036,Cell Maintenance
10.1038/s41598-024-59767-0,Cell Maintenance
10.1016/j.scitotenv.2022.158051,Cell Maintenance
10.3390/jfb14040218,Cell Maintenance
10.5851/kosfa.2020.e39,Cell Maintenance
10.1016/j.ijbiomac.2024.134242,Cell Maintenance
10.1016/j.foodhyd.2024.110156,Cell Maintenance
10.1016/j.heliyon.2024.e38006,Cell Maintenance
10.1002/bit.27469,Cell Maintenance
10.3390/ani12233328,Cell Maintenance
10.1038/s41467-023-44001-8,Cell Maintenance
10.1038/s41538-019-0054-8,Cell Maintenance
10.3389/fsufs.2024.1341151,Cell Maintenance
10.1016/j.biomaterials.2022.121615,Cell Sources and Differentiation
10.3390/cells10092499,Cell Sources and Differentiation
10.1016/j.biomaterials.2022.121649,Cell Sources and Differentiation
10.3390/conservation3020021,Cell Sources and Differentiation
10.1016/j.biomaterials.2021.121155,Cell Sources and Differentiation
10.1016/j.crfs.2024.100841,Cell Sources and Differentiation
10.1016/j.crbiot.2024.100241,Cell Sources and Differentiation
10.3389/fsufs.2023.1134100,Cell Sources and Differentiation
10.3390/cells13020135,Cell Sources and Differentiation
10.1007/s11626-024-00971-7,Cell Sources and Differentiation
10.3389/fnut.2023.1197111,Cell Sources and Differentiation
10.1016/j.scitotenv.2023.164988,Cell Sources and Differentiation
10.1111/faf.12541,Cell Sources and Differentiation
10.1016/j.foodres.2022.111561,Cell Sources and Differentiation
10.1039/d1fo04340d,Cell Sources and Differentiation
10.1016/j.foodhyd.2022.107632,Cell Sources and Differentiation
10.1007/s12015-023-10535-z,Cell Sources and Differentiation
10.3390/foods12142682,Cell Sources and Differentiation
10.3390/foods12142645,Cell Sources and Differentiation
10.1016/j.foodres.2022.111952,Cell Sources and Differentiation
10.1038/s41598-024-59767-0,Cell Sources and Differentiation
10.3389/fsufs.2019.00128,Cell Sources and Differentiation
10.1016/j.scitotenv.2022.158051,Cell Sources and Differentiation
10.1016/j.fbio.2024.103819,Cell Sources and Differentiation
10.3390/jfb14040218,Cell Sources and Differentiation
10.5851/kosfa.2024.e27,Cell Sources and Differentiation
10.1016/j.biomaterials.2021.121267,Cell Sources and Differentiation
10.1016/j.biomaterials.2022.121602,Cell Sources and Differentiation
10.1016/j.heliyon.2024.e38006,Cell Sources and Differentiation
10.5851/kosfa.2024.e72,Cell Sources and Differentiation
10.3390/foods11213364,Cell Sources and Differentiation
10.1038/s41598-024-68247-4,Cell Sources and Differentiation
10.1016/j.biomaterials.2022.121543,Cell Sources and Differentiation
10.1038/s41467-021-25236-9,Cell Sources and Differentiation
10.1002/bit.27469,Cell Sources and Differentiation
