doi,authorID
10.1152/ajpcell.00231.2024,steele2385
10.1152/ajpcell.00231.2024,syroid2434
10.1152/ajpcell.00231.2024,mombo5429
10.1152/ajpcell.00231.2024,raveetharan9581
10.1152/ajpcell.00231.2024,rebalka1281
10.1152/ajpcell.00231.2024,hawke4820
10.1016/j.jfca.2024.106663,sikora9101
10.1016/j.jfca.2024.106663,rzymski0364
10.1002/bit.28324,negulescu7935
10.1002/bit.28324,risner4073
10.1002/bit.28324,spang9375
10.1002/bit.28324,sumner5565
10.1002/bit.28324,block6641
10.1002/bit.28324,nandi0956
10.1002/bit.28324,mcdonald9968
10.3389/fcell.2022.858884,brookes9475
10.3389/fcell.2022.858884,thorpe5804
10.3389/fcell.2022.858884,rigby evans4124
10.3389/fcell.2022.858884,keeling9335
10.3389/fcell.2022.858884,lee0267
10.1016/j.ifset.2024.103734,jang5598
10.1016/j.ifset.2024.103734,han0494
10.1016/j.ifset.2024.103734,kim7552
10.1016/j.ifset.2024.103734,jang8753
10.1016/j.ifset.2024.103734,shim2522
10.1016/j.ifset.2024.103734,choi9310
10.3389/fsufs.2023.1127164,ho9460
10.3389/fsufs.2023.1127164,ou8027
10.3389/fsufs.2023.1127164,vijayan5633
10.1016/j.livsci.2021.104705,verbeke6525
10.1016/j.livsci.2021.104705,hung2335
10.1016/j.livsci.2021.104705,baum2623
10.1016/j.livsci.2021.104705,de steur0745
10.1016/j.meatsci.2019.04.004,bryant0969
10.1016/j.meatsci.2019.04.004,anderson0642
10.1016/j.meatsci.2019.04.004,asher4492
10.1016/j.meatsci.2019.04.004,green6726
10.1016/j.meatsci.2019.04.004,gasteratos1431
10.3389/fsufs.2023.1160458,hedberg5274
10.3390/su13137430,malavalli2900
10.3390/su13137430,hamid9494
10.3390/su13137430,kantono8455
10.3390/su13137430,liu7012
10.3390/su13137430,seyfoddin9905
10.1353/con.2013.0013,stephens0531
10.1038/s41538-019-0041-0,tiberius0872
10.1038/s41538-019-0041-0,borning8475
10.1038/s41538-019-0041-0,seeler9965
10.1016/j.biomaterials.2022.121615,liu0105
10.1016/j.biomaterials.2022.121615,wang5507
10.1016/j.biomaterials.2022.121615,ding7361
10.1016/j.biomaterials.2022.121615,deng9849
10.1016/j.biomaterials.2022.121615,zhang1738
10.1016/j.biomaterials.2022.121615,li4296
10.1016/j.biomaterials.2022.121615,shi6070
10.1016/j.biomaterials.2022.121615,wu5778
10.1016/j.biomaterials.2022.121615,liang3724
10.1016/j.biomaterials.2022.121615,yan0016
10.1016/j.biomaterials.2022.121615,liu5609
10.1016/j.biomaterials.2022.121615,du9727
10.1016/j.xpro.2023.102351,semper1012
10.1016/j.xpro.2023.102351,savchenko8049
10.1016/j.cej.2022.137455,zhuge8525
10.1016/j.cej.2022.137455,ding9391
10.1016/j.cej.2022.137455,zhang2409
10.1016/j.cej.2022.137455,zhang0154
10.1016/j.cej.2022.137455,wang7355
10.1016/j.cej.2022.137455,wang5859
10.1016/j.techsoc.2022.102116,reis0101
10.1016/j.techsoc.2022.102116,villar4099
10.1016/j.techsoc.2022.102116,prado gimenez9553
10.1016/j.techsoc.2022.102116,maiolino molento2411
10.1016/j.techsoc.2022.102116,ferri9778
10.3389/fbioe.2023.1116917,santos2518
10.3389/fbioe.2023.1116917,cotta0092
10.3389/fbioe.2023.1116917,santos7132
10.3389/fbioe.2023.1116917,camargos7575
10.3389/fbioe.2023.1116917,carmo5327
10.3389/fbioe.2023.1116917,alcântara7206
10.3389/fbioe.2023.1116917,fleck4962
10.3389/fbioe.2023.1116917,copola6051
10.3389/fbioe.2023.1116917,nogueira9802
10.3389/fbioe.2023.1116917,silva6984
10.3389/fbioe.2023.1116917,andrade8886
10.3389/fbioe.2023.1116917,ferreira6783
10.3389/fbioe.2023.1116917,jorge5388
10.1108/bfj-11-2022-1016,lewisch2811
10.1108/bfj-11-2022-1016,riefler9962
10.1108/bfj-08-2020-0698,munz fernandes4825
10.1108/bfj-08-2020-0698,teixeira costa7683
10.1108/bfj-08-2020-0698,de souza teixeira7100
10.1108/bfj-08-2020-0698,dos santos0975
10.1108/bfj-08-2020-0698,palma revillion4391
10.1108/bfj-08-2020-0698,leal de souza9928
10.1038/s43016-022-00603-x,broad1862
10.1038/s43016-022-00603-x,chiles8347
10.1016/j.foodres.2024.114303,lee5417
10.1016/j.foodres.2024.114303,yun1977
10.1016/j.foodres.2024.114303,lee4542
10.1016/j.foodres.2024.114303,lee2943
10.1016/j.foodres.2024.114303,mariano5004
10.1016/j.foodres.2024.114303,joo1941
10.1016/j.foodres.2024.114303,choi9767
10.1016/j.foodres.2024.114303,seok choi9949
10.1016/j.foodres.2024.114303,kim1959
10.1016/j.foodres.2024.114303,lee9174
10.1016/j.foodres.2024.114303,choi3406
10.1016/j.foodres.2024.114303,jin hur6870
10.5840/philtoday2022318444,burgat2372
10.5840/philtoday2022318444,lyman4530
10.5840/philtoday2022318444,james7847
10.5840/philtoday2022318444,NA9225
10.1016/j.appet.2022.106392,sun5044
10.1016/j.appet.2022.106392,ortega6227
10.1016/j.appet.2022.106392,lin2997
10.1016/j.foodpol.2020.101931,van loo1277
10.1016/j.foodpol.2020.101931,caputo7608
10.1016/j.foodpol.2020.101931,lusk4525
10.1007/s10806-017-9654-y,leroy9626
10.1007/s10806-017-9654-y,praet0621
10.1038/s41598-018-28746-7,ding0103
10.1038/s41598-018-28746-7,swennen2913
10.1038/s41598-018-28746-7,messmer9010
10.1038/s41598-018-28746-7,gagliardi2544
