authorID,authorName,authorOrcid
NA0427,NA NA,NA
NA9225,NA NA,NA
abrahao1837,Ana Flavia S. Abrahao,https://orcid.org/0000-0002-0479-1837
accardo7437,Antonella Accardo,NA
acevedo1030,Cristian A. Acevedo,NA
achirimbi8505,Elma Achirimbi,NA
adler-abramovich0625,Lihi Adler-Abramovich,https://orcid.org/0000-0003-3433-0625
afrin4128,Sadia Afrin,NA
agun7923,Ilknur Agun,NA
ahmad2768,Syed Sayeed Ahmad,https://orcid.org/0000-0002-2829-2768
ahmad8445,Khurshid Ahmad,https://orcid.org/0000-0002-1095-8445
ahn9701,Seungkuk Ahn,NA
aisala2785,Heikki Aisala,NA
akazawa3364,Chihiro Akazawa,NA
akazawa3373,Chihiro Akazawa,NA
akcali6126,Kamil Can Akcali,NA
akiyama6294,Yoshikatsu Akiyama,https://orcid.org/0000-0002-4918-6294
alarcón0246,Silverio Alarcón,NA
albrecht7992,Franziska B. Albrecht,NA
alcântara7206,Erika Gabriele Alves Alcântara,NA
ali4840,Junaid Ali,NA
ali5086,Shahid Ali,https://orcid.org/0000-0002-4724-5086
alkhalawi9757,Eman AlKhalawi,NA
allan1037,Scott J. Allan,NA
allan3791,Scott J. Allan,NA
alvarez5344,Mario M. Alvarez,https://orcid.org/0000-0002-9131-5344
alvaro2937,Carlo Alvaro,https://orcid.org/0000-0003-3714-2937
alver1898,Charles G. Alver,NA
amato0764,Mario Amato,NA
amirvaresi8109,Arian Amirvaresi,NA
amirvaresi9305,Arian Amirvaresi,NA
amzallag1538,Emmanuel Amzallag,NA
anderson0642,Joanna E. Anderson,NA
anderson1005,Joanna E. Anderson,NA
andrade8886,Luciana de Oliveira Andrade,NA
andreassen6509,R. Christel Andreassen,NA
andrews4938,John Andrews,https://orcid.org/0000-0002-8369-4938
anomaly0121,Jonny Anomaly,https://orcid.org/0000-0001-5485-0121
ansel8326,Joshua C. Ansel,NA
antipina5772,Maria N. Antipina,https://orcid.org/0000-0001-8535-5772
antoniak2094,Marcin Antoniak,NA
antonioli2503,Federico Antonioli,NA
appiani9600,Marta Appiani,https://orcid.org/0000-0002-3838-9600
arora1660,Rashmit S. Arora,NA
asahi6763,Toru Asahi,NA
asahi9214,Toru Asahi,NA
asher4492,Kathryn E. Asher,NA
asher5689,Kathryn E. Asher,NA
ashizawa4438,Reina Ashizawa,NA
asioli8450,Daniele Asioli,https://orcid.org/0000-0003-2274-8450
attwood6048,Sophie Attwood,NA
auephanwiriyakul3800,Sansanee Auephanwiriyakul,NA
avegnon5003,Kossi Loic M. Avegnon,NA
avinoam0027,Ori Avinoam,NA
ayyash6230,M. Ayyash,NA
baar5174,Keith Baar,NA
baar8055,Keith Baar,NA
bae4999,Hojae Bae,https://orcid.org/0000-0003-3057-4999
bae6727,Hojae Bae,NA
bai2800,Junfei Bai,NA
bai7156,Junfei Bai,NA
