coder.id,paper.doi_1,Aim,performance.type,Aim.disagree,Q49,initial.note,claim.presence,Flag,Flag.type,Flag.type_3_TEXT,Note.final,group,variable,value,theme_count
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,NA,None,NA,NA,Yes,NA,Redo if time,NA,NA,1,more,Yes,NA
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,NA,None,NA,NA,Yes,NA,Redo if time,NA,NA,1,problem.or.benefit,Barrier,NA
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,NA,None,NA,NA,Yes,NA,Redo if time,NA,NA,1,develop.or.adopt,Development,NA
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,NA,None,NA,NA,Yes,NA,Redo if time,NA,NA,1,development.category,Cell Maintenance,26
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,NA,None,NA,NA,Yes,NA,Redo if time,NA,NA,1,existence,1 - The theme exists,NA
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,NA,None,NA,NA,Yes,NA,Redo if time,NA,NA,1,fulfillment,0.5 - hedging,NA
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,NA,None,NA,NA,Yes,NA,Redo if time,NA,NA,2,more,Yes,NA
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,NA,None,NA,NA,Yes,NA,Redo if time,NA,NA,2,problem.or.benefit,Barrier,NA
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,NA,None,NA,NA,Yes,NA,Redo if time,NA,NA,2,develop.or.adopt,Development,NA
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,NA,None,NA,NA,Yes,NA,Redo if time,NA,NA,2,development.category,Cell Maintenance,26
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,NA,None,NA,NA,Yes,NA,Redo if time,NA,NA,2,existence,1 - The theme exists,NA
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,NA,None,NA,NA,Yes,NA,Redo if time,NA,NA,2,fulfillment,0.5 - hedging,NA
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,NA,None,NA,NA,Yes,NA,Redo if time,NA,NA,3,more,Yes,NA
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,NA,None,NA,NA,Yes,NA,Redo if time,NA,NA,3,problem.or.benefit,Barrier,NA
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,NA,None,NA,NA,Yes,NA,Redo if time,NA,NA,3,develop.or.adopt,Development,NA
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,NA,None,NA,NA,Yes,NA,Redo if time,NA,NA,3,development.category,Cell Maintenance,26
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,NA,None,NA,NA,Yes,NA,Redo if time,NA,NA,3,existence,1 - The theme exists,NA
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,NA,None,NA,NA,Yes,NA,Redo if time,NA,NA,3,fulfillment,0.5 - hedging,NA
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,NA,None,NA,NA,Yes,NA,Redo if time,NA,NA,4,more,No - Continue to Final Note,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,1,more,Yes,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,1,problem.or.benefit,Opportunity,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,1,opportunity.type,Humans,187
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,1,Human.opps,Public Health,184
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,1,Health.opps,Offering Better Nutrition,40
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,1,existence,1 - The theme exists,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,1,fulfillment,0 - Theme may or may not be overcome,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,2,more,Yes,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,2,problem.or.benefit,Opportunity,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,2,opportunity.type,the Environment,189
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,2,opportunity.type,Livestock,131
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,2,opportunity.type,Humans,187
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,2,env.opps,Other,11
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,2,Human.opps,Public Health,184
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,2,Health.opps,Food Safety Improvements,90
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,2,Food.safety,Zoonosis Reductions,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,2,Food.safety,Reducing Antibiotics used for Livestock,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,2,existence,1 - The theme exists,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,2,fulfillment,0.5 - hedging,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,more,Yes,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,problem.or.benefit,Barrier,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,problem.or.benefit,Opportunity,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,develop.or.adopt,Development,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,develop.or.adopt,Adoption,NA
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,adoption.category,Public Distrust,119
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,adoption.category,Cost or Willingness to Pay,63
Griffin,10.1016/j.jfca.2024.106663,Safety,NA,None,NA,NA,Yes,Flag (Choose Below),Redo if time,NA,Done,3,distrust.sources,Non-specified concerns,NA
