coder,doi,aim,performance.type,group,variable,value,section,BLOC,existence,fulfillment
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,,1,develop.or.adopt,Development,Abstract,Barrier,1,0.5
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,,1,development.category,Cell Maintenance,Abstract,Barrier,1,0.5
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,,2,develop.or.adopt,Development,Introduction,Barrier,1,0.5
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,,2,development.category,Cell Maintenance,Introduction,Barrier,1,0.5
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,,3,develop.or.adopt,Development,Discussion,Barrier,1,0.5
Griffin,10.1152/ajpcell.00231.2024,Cell Sources,,3,development.category,Cell Maintenance,Discussion,Barrier,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,1,opportunity.type,Humans,Abstract,Opportunity,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,1,Human.opps,Public Health,Abstract,Opportunity,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,1,Health.opps,Offering Better Nutrition,Abstract,Opportunity,1,0
Griffin,10.1016/j.jfca.2024.106663,Safety,,2,opportunity.type,the Environment,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,2,opportunity.type,Livestock,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,2,opportunity.type,Humans,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,2,env.opps,Other,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,2,Human.opps,Public Health,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,2,Health.opps,Food Safety Improvements,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,2,Food.safety,Zoonosis Reductions,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,2,Food.safety,Reducing Antibiotics used for Livestock,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,develop.or.adopt,Development,Introduction,Barrier,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,develop.or.adopt,Adoption,Introduction,Barrier,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,develop.or.adopt,Development,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,develop.or.adopt,Adoption,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,adoption.category,Public Distrust,Introduction,Barrier,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,adoption.category,Cost or Willingness to Pay,Introduction,Barrier,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,adoption.category,Public Distrust,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,adoption.category,Cost or Willingness to Pay,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,distrust.sources,Non-specified concerns,Introduction,Barrier,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,distrust.sources,Non-specified concerns,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,development.category,Media and Ingredients,Introduction,Barrier,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,development.category,Investments,Introduction,Barrier,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,development.category,Energy Use is High,Introduction,Barrier,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,development.category,Process and Bioreactors,Introduction,Barrier,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,development.category,Poor Sensory Attribute,Introduction,Barrier,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,development.category,Media and Ingredients,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,development.category,Investments,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,development.category,Energy Use is High,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,development.category,Process and Bioreactors,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,development.category,Poor Sensory Attribute,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,senses.dev,Taste,Introduction,Barrier,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,senses.dev,Looks,Introduction,Barrier,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,senses.dev,Texture,Introduction,Barrier,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,senses.dev,Taste,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,senses.dev,Looks,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,senses.dev,Texture,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,ingredients,Economical Ingredients,Introduction,Barrier,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,ingredients,Economical Ingredients,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,opportunity.type,the Environment,Introduction,Barrier,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,opportunity.type,the Environment,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,env.opps,Excessive Fresh Water Use,Introduction,Barrier,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,3,env.opps,Excessive Fresh Water Use,Introduction,Opportunity,1,0.5
Griffin,10.1016/j.jfca.2024.106663,Safety,,4,develop.or.adopt,Development,Discussion,Barrier,1,NA
