doi,title,url,publisherID,journalID,dateCreated,references,referencedBy,aim
10.1152/ajpcell.00231.2024,Isolation of a persistently quiescent muscle satellite cell population,https://doi.org/10.1152/ajpcell.00231.2024,American Physiological Society,American Journal of Physiology-Cell Physiology,2024-06-24,32,0,Cell Sources
10.1016/j.jfca.2024.106663,Assessment of the potential nutritional value of cell-cultured chicken meat in light of European dietary recommendations,https://doi.org/10.1016/j.jfca.2024.106663,Elsevier BV,Journal of Food Composition and Analysis,2024-08-16,73,4,Safety
10.1002/bit.28324,Techno‐economic modeling and assessment of cultivated meat: Impact of production bioreactor scale,https://doi.org/10.1002/bit.28324,Wiley,Biotechnology and Bioengineering,2022-12-30,43,33,Performance
10.3389/fcell.2022.858884,Covariation of Pluripotency Markers and Biomechanical Properties in Mouse Embryonic Stem Cells,https://doi.org/10.3389/fcell.2022.858884,Frontiers Media SA,Frontiers in Cell and Developmental Biology,2022-05-16,32,1,Cell Differentiation
10.1016/j.ifset.2024.103734,Eggshell membrane as a natural food-grade scaffold for cultured meat,https://doi.org/10.1016/j.ifset.2024.103734,Elsevier BV,Innovative Food Science &amp; Emerging Technologies,2024-06-16,53,0,Scaffolding
10.3389/fsufs.2023.1127164,Halal or not? Exploring Muslim perceptions of cultured meat in Singapore,https://doi.org/10.3389/fsufs.2023.1127164,Frontiers Media SA,Frontiers in Sustainable Food Systems,2023-04-06,65,16,Religion
10.1016/j.livsci.2021.104705,The power of initial perceived barriers versus motives shaping consumers’ willingness to eat cultured meat as a substitute for conventional meat,https://doi.org/10.1016/j.livsci.2021.104705,Elsevier BV,Livestock Science,2021-09-21,33,31,Acceptance
10.1016/j.meatsci.2019.04.004,Strategies for overcoming aversion to unnaturalness: The case of clean meat,https://doi.org/10.1016/j.meatsci.2019.04.004,Elsevier BV,Meat Science,2019-04-04,51,91,Acceptance
10.3389/fsufs.2023.1160458,"Bad animals, techno-fixes, and the environmental narratives of alternative protein",https://doi.org/10.3389/fsufs.2023.1160458,Frontiers Media SA,Frontiers in Sustainable Food Systems,2023-06-13,73,3,Education
10.3390/su13137430,Consumers’ Perception of In-Vitro Meat in New Zealand Using the Theory of Planned Behaviour Model,https://doi.org/10.3390/su13137430,MDPI AG,Sustainability,2021-07-02,52,15,Acceptance
