doi,themeID,group,section,existence,fulfillment
10.1016/j.MEATsci.2019.04.004,"""Ethical"" Problems",7,Discussion,1,0
10.1016/j.MEATsci.2019.04.004,"""Ethical"" Problems",9,Other (Write),1,NA
10.1007/s10806-017-9654-y,"""Ethical"" Problems",6,Other (Write),0.5,-0.5
10.3389/fsufs.2023.1127164,"""Ethical"" Problems",9,Discussion,0.5,0
10.1016/j.livsci.2021.104705,"""Ethical"" Problems",6,Introduction,0.5,NA
10.3389/fsufs.2023.1104731,"""Ethical"" Problems",6,Other (Write),1,NA
10.1038/s41538-019-0041-0,Attributes of Consumption Culture,1,Abstract,1,1
10.3390/conservation3020021,Attributes of Consumption Culture,4,Introduction,1,NA
10.3389/fnut.2020.00148,Attributes of Consumption Culture,2,Abstract,0.5,NA
10.3389/fsufs.2023.1134100,Attributes of Consumption Culture,7,Other (Write),1,NA
10.1108/BFJ-09-2021-0987,Attributes of Consumption Culture,9,Results and Discussion,0.5,NA
10.3389/fsufs.2023.1302511,Attributes of Consumption Culture,2,Introduction,1,NA
10.1007/s11569-018-0330-0,Attributes of Consumption Culture,8,Discussion,1,-0.5
10.1016/j.foodqual.2023.105032,Attributes of Consumption Culture,4,Introduction,1,NA
10.1111/ajsp.12609,Attributes of Consumption Culture,7,Introduction,1,NA
10.1111/ajsp.12609,Attributes of Consumption Culture,8,Discussion,-0.5,0.5
10.3389/fsufs.2023.1134100,Attributes of Production Culture,7,Other (Write),1,NA
10.1108/BFJ-09-2021-0987,Attributes of Production Culture,9,Results and Discussion,0.5,NA
10.1016/j.MEATsci.2022.108776,Attributes of Production Culture,4,Discussion,0.5,NA
10.3389/fsufs.2023.1160458,Biodiversity Impacts,7,Other (Write),0.5,NA
10.1038/s41538-022-00172-0,Biodiversity Impacts,2,Introduction,1,0.5
10.1038/s41538-022-00172-0,Biodiversity Impacts,4,Introduction,1,1
10.1038/s41538-022-00172-0,Biodiversity Impacts,4,Introduction,0.5,1
10.1038/s41538-022-00172-0,Biodiversity Impacts,3,Introduction,0.5,NA
10.1038/s41538-022-00172-0,Biodiversity Impacts,3,Introduction,0.5,1
10.1038/s41538-022-00172-0,Biodiversity Impacts,3,Introduction,1,NA
10.1038/s41538-022-00172-0,Biodiversity Impacts,3,Introduction,1,1
10.3390/nu11081904,Biodiversity Impacts,3,Introduction,1,0.5
10.3390/conservation3020021,Biodiversity Impacts,1,Abstract,1,0.5
10.3390/conservation3020021,Biodiversity Impacts,3,Introduction,1,0.5
10.3390/conservation3020021,Biodiversity Impacts,14,Conclusion,1,0.5
10.3389/fnut.2020.00148,Biodiversity Impacts,3,Introduction,1,0.5
10.1371/journal.pone.0221129,Biodiversity Impacts,7,Introduction,1,1
