doi,title,url,publisherID,journalID,dateCreated,references,referencedBy,funder_name,funder_doi,aim
10.1152/ajpcell.00231.2024,Isolation of a persistently quiescent muscle satellite cell population,https://doi.org/10.1152/ajpcell.00231.2024,American Physiological Society,American Journal of Physiology-Cell Physiology,2024-06-24,32,0,Canadian Government | Natural Sciences and Engineering Research Council of Canada,10.13039/501100000038,Cell Sources
10.1152/ajpcell.00231.2024,Isolation of a persistently quiescent muscle satellite cell population,https://doi.org/10.1152/ajpcell.00231.2024,American Physiological Society,American Journal of Physiology-Cell Physiology,2024-06-24,32,0,Canadian Government | Natural Sciences and Engineering Research Council of Canada,10.13039/501100000038,Cell Sources
10.1152/ajpcell.00231.2024,Isolation of a persistently quiescent muscle satellite cell population,https://doi.org/10.1152/ajpcell.00231.2024,American Physiological Society,American Journal of Physiology-Cell Physiology,2024-06-24,32,0,Canadian Government | Social Sciences and Humanities Research Council of Canada,10.13039/501100000155,Cell Sources
10.1002/bit.28324,Techno‐economic modeling and assessment of cultivated meat: Impact of production bioreactor scale,https://doi.org/10.1002/bit.28324,Wiley,Biotechnology and Bioengineering,2022-12-30,43,34,National Science Foundation,10.13039/100000001,Performance
10.3389/fcell.2022.858884,Covariation of Pluripotency Markers and Biomechanical Properties in Mouse Embryonic Stem Cells,https://doi.org/10.3389/fcell.2022.858884,Frontiers Media SA,Frontiers in Cell and Developmental Biology,2022-05-16,32,1,Biotechnology and Biological Sciences Research Council,10.13039/501100000268,Cell Differentiation
10.1016/j.ifset.2024.103734,Eggshell membrane as a natural food-grade scaffold for cultured meat,https://doi.org/10.1016/j.ifset.2024.103734,Elsevier BV,Innovative Food Science &amp; Emerging Technologies,2024-06-16,53,0,"Korea Institute of Planning and Evaluation for Technology in Food, Agriculture, Forestry and Fisheries",10.13039/501100003668,Scaffolding
10.1016/j.ifset.2024.103734,Eggshell membrane as a natural food-grade scaffold for cultured meat,https://doi.org/10.1016/j.ifset.2024.103734,Elsevier BV,Innovative Food Science &amp; Emerging Technologies,2024-06-16,53,0,"Ministry of Agriculture, Food and Rural Affairs",10.13039/501100003624,Scaffolding
10.3389/fsufs.2023.1127164,Halal or not? Exploring Muslim perceptions of cultured meat in Singapore,https://doi.org/10.3389/fsufs.2023.1127164,Frontiers Media SA,Frontiers in Sustainable Food Systems,2023-04-06,65,18,Ministry of Education - Singapore,10.13039/501100001459,Religion
10.1016/j.meatsci.2019.04.004,Strategies for overcoming aversion to unnaturalness: The case of clean meat,https://doi.org/10.1016/j.meatsci.2019.04.004,Elsevier BV,Meat Science,2019-04-04,51,91,Animal Advocacy Research Fund,NA,Acceptance
10.1038/s41538-019-0041-0,Setting the table for meat consumers: an international Delphi study on in vitro meat,https://doi.org/10.1038/s41538-019-0041-0,Springer Science and Business Media LLC,npj Science of Food,2019-06-04,39,33,Deutsche Forschungsgemeinschaft,10.13039/501100001659,Stakeholders
10.1038/s41538-019-0041-0,Setting the table for meat consumers: an international Delphi study on in vitro meat,https://doi.org/10.1038/s41538-019-0041-0,Springer Science and Business Media LLC,npj Science of Food,2019-06-04,39,33,Deutsche Forschungsgemeinschaft,10.13039/501100001659,Acceptance
10.1016/j.biomaterials.2022.121615,Engineered meatballs via scalable skeletal muscle cell expansion and modular micro-tissue assembly using porous gelatin micro-carriers,https://doi.org/10.1016/j.biomaterials.2022.121615,Elsevier BV,Biomaterials,2022-06-03,62,65,National Natural Science Foundation of China,10.13039/501100001809,Scaffolding
10.1016/j.biomaterials.2022.121615,Engineered meatballs via scalable skeletal muscle cell expansion and modular micro-tissue assembly using porous gelatin micro-carriers,https://doi.org/10.1016/j.biomaterials.2022.121615,Elsevier BV,Biomaterials,2022-06-03,62,65,China Postdoctoral Science Foundation,10.13039/501100002858,Scaffolding
10.1016/j.biomaterials.2022.121615,Engineered meatballs via scalable skeletal muscle cell expansion and modular micro-tissue assembly using porous gelatin micro-carriers,https://doi.org/10.1016/j.biomaterials.2022.121615,Elsevier BV,Biomaterials,2022-06-03,62,65,Tsinghua University,10.13039/501100004147,Scaffolding
10.1016/j.xpro.2023.102351,Protein expression and purification of bioactive growth factors for use in cell culture and cellular agriculture,https://doi.org/10.1016/j.xpro.2023.102351,Elsevier BV,STAR Protocols,2023-06-13,11,2,New Harvest,10.13039/100019411,Media
10.1016/j.techsoc.2022.102116,The interplay of entrepreneurial ecosystems and global value chains: Insights from the cultivated meat entrepreneurial ecosystem of Singapore,https://doi.org/10.1016/j.techsoc.2022.102116,Elsevier BV,Technology in Society,2022-09-10,97,11,"Agency for Science, Technology and Research",10.13039/501100001348,Stakeholders
10.1038/s43016-022-00603-x,Thick and thin food justice approaches in the evaluation of cellular agriculture,https://doi.org/10.1038/s43016-022-00603-x,Springer Science and Business Media LLC,Nature Food,2022-10-18,19,9,United States Department of Agriculture | National Institute of Food and Agriculture,10.13039/100005825,Ethics
10.1016/j.foodpol.2020.101931,"Consumer preferences for farm-raised meat, lab-grown meat, and plant-based meat alternatives: Does information or brand matter?",https://doi.org/10.1016/j.foodpol.2020.101931,Elsevier BV,Food Policy,2020-07-03,76,304,U.S. Department of Agriculture,10.13039/100000199,Acceptance
10.1016/j.foodpol.2020.101931,"Consumer preferences for farm-raised meat, lab-grown meat, and plant-based meat alternatives: Does information or brand matter?",https://doi.org/10.1016/j.foodpol.2020.101931,Elsevier BV,Food Policy,2020-07-03,76,304,Purdue University,10.13039/100006377,Acceptance
10.1007/s10806-017-9654-y,Animal Killing and Postdomestic Meat Production,https://doi.org/10.1007/s10806-017-9654-y,Springer Science and Business Media LLC,Journal of Agricultural and Environmental Ethics,2017-02-09,106,49,Vrije Universiteit Brussel,10.13039/501100004418,Ethics
10.1021/acs.jafc.2c09059,Enhancement of Collagen-I Levels in Human Gingival Fibroblasts by Small Molecule Activation of HIF-1α,https://doi.org/10.1021/acs.jafc.2c09059,American Chemical Society (ACS),Journal of Agricultural and Food Chemistry,2023-05-03,50,10,Israel Science Foundation,10.13039/501100003977,Process
10.1021/acs.jafc.2c09059,Enhancement of Collagen-I Levels in Human Gingival Fibroblasts by Small Molecule Activation of HIF-1α,https://doi.org/10.1021/acs.jafc.2c09059,American Chemical Society (ACS),Journal of Agricultural and Food Chemistry,2023-05-03,50,10,"Ministry of Science, Technology and Space",10.13039/501100001738,Process
10.1021/acs.jafc.2c09059,Enhancement of Collagen-I Levels in Human Gingival Fibroblasts by Small Molecule Activation of HIF-1α,https://doi.org/10.1021/acs.jafc.2c09059,American Chemical Society (ACS),Journal of Agricultural and Food Chemistry,2023-05-03,50,10,Tel Aviv University,10.13039/501100004375,Process
10.1016/j.foodres.2023.113617,Analysis of commercial fetal bovine serum (FBS) and its substitutes in the development of cultured meat,https://doi.org/10.1016/j.foodres.2023.113617,Elsevier BV,Food Research International,2023-10-24,52,25,Chung-Ang University,10.13039/501100002460,Media
