doi,themeID,group,section,existence,fulfillment
10.1016/j.MEATsci.2019.04.004,"""Ethical"" Problems",7,Discussion,1,0
10.1016/j.MEATsci.2019.04.004,"""Ethical"" Problems",9,Other (Write),1,NA
10.1007/s10806-017-9654-y,"""Ethical"" Problems",6,Other (Write),0.5,-0.5
10.3389/fsufs.2023.1127164,"""Ethical"" Problems",9,Discussion,0.5,0
10.1016/j.livsci.2021.104705,"""Ethical"" Problems",6,Introduction,0.5,NA
10.3389/fsufs.2023.1104731,"""Ethical"" Problems",6,Other (Write),1,NA
10.1353/con.2013.0013,"""Ethical"" Problems",3,Body,1,NA
10.1016/j.geoforum.2021.10.001,"""Ethical"" Problems",3,Background,1,NA
10.1007/s11367-024-02350-6,"""Ethical"" Problems",2,Introduction,1,0.5
10.1007/s10806-014-9508-9,"""Ethical"" Problems",7,Body,1,NA
10.1016/j.MEATsci.2018.12.014,"""Ethical"" Problems",4,Introduction,1,0.5
10.3389/fsufs.2023.1277511,"""Ethical"" Problems",6,Background,1,NA
10.1038/s41538-019-0041-0,Attributes of Consumption Culture,1,Abstract,1,1
10.3390/conservation3020021,Attributes of Consumption Culture,4,Introduction,1,NA
10.3389/fnut.2020.00148,Attributes of Consumption Culture,2,Abstract,0.5,NA
10.3389/fsufs.2023.1134100,Attributes of Consumption Culture,7,Other (Write),1,NA
10.1108/BFJ-09-2021-0987,Attributes of Consumption Culture,9,Results and Discussion,0.5,NA
10.3389/fsufs.2023.1302511,Attributes of Consumption Culture,2,Introduction,1,NA
10.1007/s11569-018-0330-0,Attributes of Consumption Culture,8,Discussion,1,-0.5
10.1016/j.foodqual.2023.105032,Attributes of Consumption Culture,4,Introduction,1,NA
10.1111/ajsp.12609,Attributes of Consumption Culture,7,Introduction,1,NA
10.1111/ajsp.12609,Attributes of Consumption Culture,8,Discussion,-0.5,0.5
10.1007/s10806-014-9508-9,Attributes of Consumption Culture,7,Body,1,NA
10.1016/j.fufo.2023.100220,Attributes of Consumption Culture,4,Introduction,1,NA
10.1016/j.MEATsci.2022.108941,Attributes of Consumption Culture,1,Abstract,1,NA
10.1016/j.MEATsci.2022.108941,Attributes of Consumption Culture,3,Introduction,1,NA
10.1016/j.MEATsci.2022.108941,Attributes of Consumption Culture,5,Body,1,NA
10.1016/j.foodpol.2022.102337,Attributes of Consumption Culture,2,Introduction,1,NA
10.1016/j.appet.2018.02.030,Attributes of Consumption Culture,5,Introduction,1,0.5
10.1080/15528014.2022.2027688,Attributes of Consumption Culture,3,Introduction,1,NA
10.3389/fsufs.2023.1134100,Attributes of Production Culture,7,Other (Write),1,NA
10.1108/BFJ-09-2021-0987,Attributes of Production Culture,9,Results and Discussion,0.5,NA
